,id,title,duration[s],comment number,comment number normalize
0,48IymgqAZ1o,【SCお礼雑談】まだまだ止まらないですよ！【従井ノラ/深層組】,7258,5889,0.8113805456048498
1,DeqzPRmuK10,【原神替え歌】ガチャっぽいな(神っぽいな) / 従井ノラ【Genshin Impact】,318,205,0.6446540880503144
2,iXvaXufKwTA,【ハフバ】従井ノラの暴走～序章～【従井ノラ/深層組】,4737,7101,1.4990500316656112
3,5JhrT3W9nGU,【挑戦】食べて痩せたい方必見。マシュマロは筋肉。ヤー！【従井ノラ/深層組】,9973,10072,1.0099268023663892
4,7Ig0eHSzXas,【マシュマロ雑談】ノラ組カウンセリング【従井ノラ/深層組】,9232,12528,1.3570190641247835
5,0bg-OWiHUYE,【ポケモン鳴き声クイズ】ﾚｼｼﾞ ｷﾞｶﾞｶﾞｶﾞｶﾞｶﾞｶﾞ wwww【従井ノラ/深層組】,5157,7073,1.371533837502424
6,wH9Pya7bZig,【視聴者参加型】絶対にブチギレないFallGuys【従井ノラ/深層組】,7114,5425,0.7625808265392184
7,DmECcFOOxEk,配信準備の配信をします。【従井ノラ/深層組】,11301,5624,0.49765507477214405
8,io-2zFs1w6I,【原神マルチ】お手伝いさせてください！！(Genshin Impact)【従井ノラ/深層組】,15870,3662,0.2307498424700693
9,0ucXzxoiUFY,【ASMR練習】耳舐めっぞ！！！！！！【従井ノラ/深層組】,4744,2837,0.5980185497470489
10,_aQQOWzaulU,【同時視聴】プラットフォーム を見ます。【従井ノラ/深層組】,10495,6009,0.5725583611243449
11,ggxLSqU41Uo,【原神ガチャ】30連で一斗を完凸させます(Genshin Impact gacha roll)【従井ノラ/深層組】,3880,4684,1.2072164948453608
12,XqL1De_OxeE,【大富豪】世界中で愛されている最高に面白いカードゲーム知ってます？【従井ノラ/深層組】,4888,4712,0.9639934533551555
13,m8tlMmRYD4I,【ASMR練習】見習い執事のしっかり揉みほぐしシャンプー/ふわふわタオル/耳かき【従井ノラ/深層組】,5976,2920,0.4886211512717537
14,uib15kdxku0,【原神】アチーブメント割とガチ勢のススメ【従井ノラ/深層組】,11657,2752,0.23608132452603586
15,P1b6ANoVTjY,【マロ雑談】勝手に婚約しないでください【従井ノラ/深層組】,7544,10762,1.4265641569459173
16,-j0JU6jk6Ek,【サンリオDBD！？】サンリオキャラで大絶叫【従井ノラ/深層組】,6328,4424,0.6991150442477876
17,VH9HzOtM-rw,【プリコネガチャ】出すだけ。【従井ノラ/深層組】,2081,1886,0.9062950504565113
18,UFLa4L5VBN8,【マリカ８DX】キッズがまたまたリスナーを凹します！【従井ノラ/深層組】,5018,4199,0.8367875647668394
19,dTxav1I3CZM,【買い物】おすすめのQOL向上アイテムを教えてくれ！！！【従井ノラ/深層組】,9808,11619,1.1846451876019577
20,0zQRO5dHyyc,【昼食雑談】たべるだけ。【従井ノラ/深層組】,6565,3659,0.5573495811119573
21,__UyGl52pkg,【作業雑談】まーーーーーーーたり【従井ノラ/深層組】,8779,3767,0.4290921517257091
22,QMK9gdnquio,【ホラー/心拍数メーター有】幽霊と女で気持ちよくなります！【零-濡鴉ノ巫女＃６終】,8887,4256,0.4789017666254079
23,TW07eAVMihg,【ASMR練習】なんも考えないでください。吐息/囁き/耳塞ぎ【従井ノラ/深層組】,13459,3907,0.29028902593060407
24,IaHznvym-oI,【お絵かき雑談】描くだけ。【従井ノラ/深層組】,12259,4726,0.3855126845582837
25,_pEu00A89Yg,【雑談】しゃべるだけ。【従井ノラ/深層組】,8777,11833,1.348182750370286
26,x-sjw98MsHY,【昼食雑談】たべるだけ。【従井ノラ/深層組】,4129,1380,0.3342213611043836
27,2JyDHeKvJ8A,【ASMR練習】1週間頑張るキミにボクがご奉仕します🤎吐息/囁き/耳かき/耳塞ぎ/歯磨き【従井ノラ/深層組】,18454,14977,0.811585564105343
28,6g8Nfdpzreg,【日曜ゲリラホラー映画】”整形水”＆&quot;ミッドサマー&quot;同時視聴【従井ノラ/深層組】,20367,8038,0.39465802523690285
