,id,title,duration[s],comment number,comment number normalize
0,DfoT296Q09g,GW、寝て過ごしている皆さま、お話ししましょう【従井ノラ/深層組】,6475,167,0.02579150579150579
1,Vge0nQvUQHI,【ASMR練習】ショタ執事が耳元でゼロ距離囁き＆吐息ご奉仕※イケボ注意【従井ノラ/深層組】,18559,9796,0.5278301632631068
2,QgNa-W7r_eI,【復活のN】従井ノラの暴走【従井ノラ/深層組】,6807,10947,1.6081974438078448
3,-Y4kLIoWO7I,【ご報告】セバスチャンストップかかりました【従井ノラ/深層組】,4242,4613,1.0874587458745875
4,AMh10SJr2c0,【First ASMR】反応したらキミの負け❤です【従井ノラ/深層組】,5642,5667,1.0044310528181495
5,4WidhsgT5dA,【原神/Genshin Impact】行秋くんのそよ風を感じる原神プレイ【従井ノラ/深層組】,12402,2821,0.22746331236897274
6,KdnTPqL-93w,日常,8879,9544,1.0748958216015316
7,QhS1RtdcYKo,【スマブラSP】視聴者参加型　従井ノラ無双卍【従井ノラ/深層組】,4931,2784,0.5645913607787467
8,Bt9Vy13wHmc,【突発おぎゃノラ】おぎやとｄｂｄする【従井ノラ/深層組】,5846,1514,0.2589804994868286
9,0zvsb5b0C68,【超美麗3D】デビュー100日目、人生初の昆虫食をします【従井ノラ/深層組】,3600,0,0.0
10,HTO9hLjOZTc,【耐久歌枠】告白のらーら耐久,3720,2174,0.5844086021505376
11,tgtl5YdR6zY,セッセセ,4001,3975,0.9935016245938515
12,tVzsmDDn0H4,【初同時視聴枠】♰新世界の神となる♰【従井ノラ/深層組】,8572,1503,0.1753383107792814
13,sYJCluXK-OU,【振り返り】謝罪と絶叫と感謝の3か月間【従井ノラ/深層組】,4721,3308,0.7006990044482101
14,il7ESyaeBMw,【初同時視聴枠】♰新世界の神となる♰【従井ノラ/深層組】,7865,2199,0.27959313413858866
15,qL7hGNRXEeU,【原神/Genshin Impact】HOTな原神で遊ぶ！！！！初心者大歓迎！【従井ノラ/深層組】,34582,5963,0.1724307443178532
16,bkR77LdjcYc,【挑戦】下ネタ喋ったら即終了雑談系見習い執事【従井ノラ/深層組】,322,324,1.0062111801242235
17,ynEaSWfhytk,【marshmallow】物好きからのマシュマロ100件切り♪【従井ノラ/深層組】,6287,8206,1.3052330205185303
18,81z85fTE3cs,【meme review?】Japanese vtuber talking ENGLISH dayo.【従井ノラ/深層組】,4865,1710,0.35149023638232274
19,83-gIj9S-SA,【超美麗3D】深層祭のパンドラの箱を開けます【従井ノラ/深層組】,16734,12581,0.7518226365483447
20,6Var8_vycVI,【AMONGUSコラボ】ボクはインｐじゃありません！！！！！【従井ノラ視点/深層組】,9093,7574,0.8329484218629715
21,c8dpxufqLKI,【Shopping】深層web見習い執事のお買い物配信！！【従井ノラ/深層組】,6927,9631,1.3903565757182041
22,rznfufjMyYE,【深層後夜祭】こ　れ　が　V　の　奇　祭　だ【従井ノラ/深層組】,16462,21485,1.3051269590572228
23,YDa8HIZBiH4,人生何が起きるかわからないというお話。,5486,6293,1.1471017134524244
24,pD56ZZSQx0Q,【原神/Genshin Impact】神里綾人実装！新マップ新聖遺物周回します！！【従井ノラ/深層組】,6339,1394,0.21990850291844138
25,udIH1JLEcx0,【marshmallow】深夜のクソマロ消化マシンとカスpart２【従井ノラ/深層組】,5653,4793,0.8478683884663011
26,CbZ7gB5oxEM,【marshmallow】クソマロ消化マシンとカス【従井ノラ/深層組】,7433,7926,1.0663258442082604
27,vWsztPu8_BU,【meme review】深層祭目前！深層ミームレビュー！Japanese learning memes!【従井ノラ/深層組】,4229,2145,0.5072121068810593
28,BM4IqbvPtlg,【ホラー/心拍数メーター有】日本の性教育について語りながらホラゲーをする12才【零-濡鴉ノ巫女＃4】,5517,2684,0.4864962842124343
29,KHTl6FkyPgY,深ヤーーーーー！！！！！,8603,7203,0.8372660699755899
30,lFtLa3x7I38,カルマを上昇させよ,3752,4312,1.1492537313432836
31,I3u4cSQifB0,【VRChat】VRCで突発売名してきた【従井ノラ/深層組】,1596,0,0.0
32,_LWQ574E4aM,スパチャ読みと雑談とガチ恋について,3896,3066,0.7869609856262834
33,nRMlMfSsZGA,緊急　対母,4289,3683,0.8587083236185591
34,AuVmcePZ1fs,【vtuberの常識を破る】第一回：おぎゃノラワイドショー【従井ノラ/小城夜みるく/深層組】,4070,4974,1.222113022113022
35,fW2Dvzin_oY,従井ノラの生放送,11785,11745,0.996605854900297
36,AKWWf8aUN1o,大手配信者に相談凸させていただきました。,20922,12326,0.5891406175317847
37,6Qlb1-gHxD4,【原神同時視聴/Genshin Impact】ver.2.6そよ風、紫苑の庭を偲ぶ 予告番組、行秋君の情報が出たら叫びます。【従井ノラ/深層組】,11109,1967,0.1770636420919975
38,rOr8aksbsGk,【原神/Genshin Impact】ゲリラ朝活【従井ノラ/深層組】,4136,207,0.05004835589941973
39,jMGaa1U4ZRk,生放送　雑談,17356,14419,0.8307789813321041
40,oDjXI2HgP9w,【NEEDYGIRL OVERDOSE・VRChat】承認欲求と〇〇欲求が止まらない【深層組/従井ノラ】,11278,9155,0.8117574037949992
41,9yNdSe5X9yI,【原神/Genshin】バーテンダーノラになんでもおまかせあれ！！！【従井ノラ/深層組】,8924,2403,0.2692738682205289
42,eFVBeuPZDoM,【深層祭】推しと1on1面会‐従井ノラ編-事前練習会場はこちら【従井ノラ/深層組】,11869,9348,0.7875979442244503
43,GspOPhWYIpk,セバス見習いゲリラ雑談とスパチャ読み,10614,6593,0.6211607311098549
44,Qvf_1uYPxq4,【NEEDYGIRL OVERDOSE】えっ〇ちなはいしんえっ〇ちなはいしんえっ〇ちなはいしん【深層組/従井ノラ】,5333,2743,0.5143446465404088
45,OdiKkaKQ3vI,【ホラー/心拍数メーター有】心霊スポット体験を話しながら除霊する被害者N【零-濡鴉ノ巫女＃3】,7647,2533,0.33124100954622726
46,gsMzvcLBDiw,【深層祭告知】見習いセバスによるイベ情報先行発表会！【従井ノラ/深層組】,8224,6475,0.787329766536965
47,tZkYPl_A6bw,【marshmallow】マロ600個限界チャレンジ【従井ノラ/深層組】,9345,7768,0.8312466559657571
48,DQ0LVY3d3jQ,【原神/Genshin】アチーブメントそこそこやってる勢がアプデ追加分埋めていくよ！【従井ノラ】,5496,923,0.16794032023289665
49,k-8l8Z1U24E,【1万人記念後半戦】美麗３ｄでケーキと肉を創ります！！！！！！【従井ノラ/深層組】,9274,12998,1.4015527280569333
50,p259AmUQdfQ,【朗読練習】怪談読み聞かせ【ASMR風】,7405,2285,0.3085752869682647
51,A0_PaLZ9cCQ,【原神/Genshin】初外部コラボが来たクリーンな深層組新人の原神雑談！！！【従井ノラ】,16280,7652,0.47002457002457004
52,F2eAc2tArtw,【1万人記念】もう色々公開します。許してください【従井ノラ/深層組】,7497,12539,1.6725356809390424
53,KwZsuzX7_p4,【黒歴史】全く参考にならないｖ応募動画【従井ノラ/深層組】,362,324,0.8950276243093923
54,GOEHL7Fs4p4,【1万人耐久】とまるんじゃねえぞ、従井ノラ卍【従井ノラ/深層組】,3277,3714,1.133353677143729
55,-jYAQER0FeI,【同時視聴】深層組を探しながらアイちゃん大天使を観る【従井ノラ/深層組】,9413,3048,0.32380750026559013
