,id,title,duration[s],comment number,comment number normalize
0,h4pC8wA73HI,【指示大歓迎】雀魂段位戦します【麻雀】,30859,5647,0.18299361612495543
1,wwVjm1FNRS0,【小城夜みるく】赤ちゃんにおいしいみるくを授乳♡【なまみるくコラボ】,5852,2869,0.4902597402597403
2,t2bZ0F5hW_4,ひとくち朝うらない🌟5/5🌟朝ごはん食べる,7196,2387,0.3317120622568093
3,klyvC-kiAME,【ﾀﾋんでみた】GW中の&quot;旅行&quot;で死にかけた話をしようと思います。【フィクション】,5830,2301,0.3946826758147513
4,aBMryu8yLGY,【お買い物】人間らしい生活を目指そうの会,7316,4536,0.6200109349371241
5,nTMG1SJ3HVk,ひとくち朝うらない🌟5/2,7362,2016,0.27383863080684595
6,pCv-jl1COtY,【ASMR】札束プランクvs配信者【耐久】,3274,801,0.24465485644471593
7,4Woy1LGmasQ,ふわふわまったりプチ雑談,361,209,0.5789473684210527
8,l1hhs16Po74,鉄緑会SA出身Vtuberなまほしちゃんって何者！？調べてみました！,7250,6193,0.8542068965517241
9,82zH6KScczA,～しくじり人生～恥の多い生涯を送っています…,5931,2965,0.49991569718428597
10,6Oj1OwkqEIw,機材事故ASMR10分虚無配信,917,465,0.5070883315158125
11,znwyW1Aa0wI,システムを再起動します,8,0,0.0
12,VchPidRurJM,お金に困ってる人向けのライフハック+不動産系テクニックなど…,7722,2692,0.3486143486143486
13,s9Czk56WGDA,Apexランクソロ修行２,23113,1406,0.06083156665080258
14,v579eH1BgAo,Apexランクソロ修行行います,41653,2657,0.06378892276666746
15,44Lp0Ou0YJ0,【超美麗3D】𝑩𝑰𝑮𝑳𝑶𝑽𝑬が詰まったプレゼントを謎の貸倉庫で開封する,15255,5526,0.36224188790560474
16,2WGDhDjD8pA,【APEX】あもあす打ち上げwith寧々丸/キルシュトルテ,20704,1815,0.08766421947449768
17,v5vSm1NgJFk,Among Usにお呼ばれしたので裏切り者を全員〇します。,9072,2243,0.24724426807760141
18,8OkuNTp2cRU,ひとくち朝うらない🌟4/5🌟朝からリングフィット,2690,473,0.1758364312267658
19,U3E5i4kNtE8,【雑談】深層祭アフタートーク🌟,8547,4535,0.5305955305955306
20,9cBNjfirNYE,【歌ってみた】サクラサクミライコイユメ/なまほしちゃん,447,247,0.5525727069351231
21,Qq_pePFSJO8,【雑談】余裕がない時ほど人にやさしくありたい…,9516,5414,0.5689365279529214
22,2GhSVUxSTI8,【雑談】体調不良すぎてオワってた話,7977,5049,0.6329447160586686
23,FczH25ZWcdM,【雑談】世の中のやさしさを信じきれない愚かな存在です…,6080,3446,0.5667763157894737
24,NS7GHMpnRBE,【PC版MHRise】視聴者参加可深夜モンハン部【指示厨大歓迎】,8167,1634,0.20007346638912699
25,rdlhrR60deg,【雑談】メンヘラ人格との折り合いのつけ方,10707,7403,0.6914168301111422
26,1TJc_bhLVUg,【雑談】外に出るとありえん疲れるんでつが…,6134,2436,0.39713074665797193
27,tIsCd1xNr2U,【PC版MHRise】打ち合わせの連絡くるまで高難易度しばく【指示厨大歓迎】,4389,252,0.05741626794258373
28,JMFtSloCtZg,ひとくち朝うらない🌟3/17,1966,402,0.20447609359104782
29,62fH1jgsigY,早寝早起き生活1日目開始,5158,4215,0.8171772004652966
30,p_1G8-Tk9P8,バーチャル猫ちゃんとの生活はじまります,5387,3826,0.7102283274549842
